Section,Station,Assigned_ID,Reviewed_ID,Title,Abstract,SpeakerAffil,Date,Start,End,Dow,Owner,Speaker,,Cal_Subj,Cal_Loc,Topic
SC23-POD9,PODs,,,Bloqade: Capably emulating & operating neutral-atom quantum computers,"This demo introduces QuEra and Bloqade, an SDK and emulator for neutral-atom quantum computing. See its success in adoption, some of its features relevant for high performance computing (such as multi-threading and GPU), and its general functionality and pipeline for operating real QPUs.",QuEra,16-Nov,11:30,13:00,Thursday,XX,"Tommaso Macri, Executive Account Manager, QuEra; Nate Gemelke, CTO, QuEra",,Bloqade: Capably emulating & operating neutral-atom quantum computers,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD8,PODs,,,Quantum simplicity: Classiq and Amazon Braket for quantum computing,"With quantum computing increasingly moving toward practical applications, the need for user-friendly and highly integrated platforms has never been greater. This session presents how the powerful integration between Classiq and Amazon Braket streamlines the user experience, from quantum circuit design to implementation. Learn how this integration eliminates the complexities of using and integrating quantum computers, allowing you to focus on solving real-world problems.",Classiq,16-Nov,11:30,13:00,Thursday,XX,"Erik Garcell, Technical Marketing Manager, Classiq; Shai Lev, VP of Partnership, Classiq",,Quantum simplicity: Classiq and Amazon Braket for quantum computing,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
AWS-THEATRE,T,,,Cooking up advanced HPC with community recipes,"HPC systems deployed on AWS often rely on various resources like file systems, networking, and directory services. Despite AWS ParallelCluster’s automation capabilities, setting up and integrating these dependencies can become complex if you have a lot of custom requirements. In this session, walk through how the new HPC Recipes for AWS library simplifies this process. Then, learn how to create a multi-user environment, configure shared storage, set up a budget, and deploy a benchmarking cluster with just a few clicks in the AWS Management Console. Finally, discover how to combine, modify, and reuse these recipes to meet your particular needs—without needing to be an AWS expert.",AWS,16-Nov,12:00,13:00,Thursday,bouffler,"Matt Vaughn, Principal HPC Developer Advocate, AWS; Brian Skjerven, Senior UK/IR HPC Specialist Solutions Architect, AWS",,Cooking up advanced HPC with community recipes,AWS Booth #1001 | Theatre @ SC'23 Denver,"ParallelCluster, Security"
SC23-POD10,PODs,,,HPC and AI with AWS Graviton3,"AWS Arm-based Graviton3 instances provide high performance for HPC and AI while delivering cost and energy savings. Running on Arm instances is straightforward and supported by open source and major commercial applications. In this demonstration, explore the performance, scalability, and simplicity of HPC and AI on Arm.",ARM,16-Nov,12:00,15:00,Thursday,XX,"David Lecomber. Sr. Director, HPC. ARM",,HPC and AI with AWS Graviton3,AWS Booth #1001 | Pod 10 SC'23 Denver,Graviton
SC23-POD11,PODs,,,Hybrid: Powering NOAA‚Äôs multicloud and AI workloads,"In this demonstration, learn about the Parallel Works single pane of glass, multicloud environment operated by General Dynamics Information Technology for NOAA‚Äôs research and development HPC organization. Learn about key aspects of the implementation and optimization of the platform for large-scale HPC-driven research and development. The Parallel Works platform uses more than 20 AWS services, including Amazon FSx for Lustre, Amazon S3, Amazon EC2, and Amazon EFS. Dive deep on the end user experience, which incorporates the familiar on-premises computing environment and the flexibility and innovation of the cloud. Explore the portability of this environment to the multicloud environment and how it bridges the cloud to NOAA‚Äôs on-premises HPC resources. Discover how this environment supports AI operations that are critical to the evolution of environmental prediction at NOAA.",ParallelWorks,16-Nov,12:00,15:00,Thursday,XX,"Michael Wilde, CEO, ParallelWorks; Unni Kirandumkara, HPC Cloud Developer Senior Advisor, GDIT, Inc.",,Hybrid: Powering NOAA‚Äôs multicloud and AI workloads,AWS Booth #1001 | Pod 11 SC'23 Denver,Hybrid
SC23-POD5,PODs,,,How to successfully move a Fortune 50 technology company to AWS,"In 2019, UberCloud met with a Fortune 50 high-tech company that develops consumer-tech products‚Äîlet‚Äôs call it TC-Anonymous (TCA). After moving several engineering simulations at TCA to AWS, UberCloud built its first automated self-service engineering simulation production platform on AWS and onboarded the first seven engineers of TCA‚Äôs R&D department to AWS. Today, TCA is running 34 different simulation workflows on AWS, with annual cloud consumption of $15 million, and increasing engineers‚Äô productivity by a factor of 10 to 40, depending on the scalability of the simulation jobs and the cloud HPC hardware. In the AWS booth, see a demo of this simulation platform and get deeper insight into the challenges and benefits for TCA.",UberCloud,16-Nov,12:00,15:00,Thursday,XX,"Wolfgang Gentzsch, President and Co-Founder, UberCloud; Chris Hegarty, Business Development Executive, UberCloud",,How to successfully move a Fortune 50 technology company to AWS,AWS Booth #1001 | Pod 5 SC'23 Denver,"Containers, CAE"
COMMUNITY,C,,,Spack Community BoF,https://sc23.supercomputing.org/presentation/?id=bof196&sess=sess346 205-207,,16-Nov,12:15,13:15,Thursday,bouffler@,https://sc23.supercomputing.org/presentation/?id=bof196&sess=sess346,,Spack Community BoF,205-207,"Community, SC BoF"
AWS-THEATRE,T,,,Deploy & use a petabyte of Lustre storage faster than making a coffee,"Amazon FSx for Lustre helps you deploy high-performance Lustre systems in just a few clicks and has capabilities that most traditional storage systems lack—think of processing hundreds of gigabytes per second of throughput without months of planning, logistics, and testing. In this session, learn how to spin up a large-scale and fast Lustre file system in less time than it takes to make a coffee. Then, discover how it can synchronize with massive datasets in object storage and how you can choose from different classes of storage performance and price to match your organization’s needs. Finally, learn how you can use Amazon File Cache to deploy Lustre as a massively parallel cloud cache for storage systems in your own data centers and how this can be a useful tool for creating hybrid facilities that speed up your users’ time to results.",AWS,16-Nov,13:00,14:00,Thursday,bouffler,"Randy Seamans, Principal Storage Solutions Architect, Public Sector, AWS; Brendan Bouffler, Senior Manager, HPC Developer Advocacy, AWS",,Deploy & use a petabyte of Lustre storage faster than making a coffee,AWS Booth #1001 | Theatre @ SC'23 Denver,Lustre
SC23-POD8,PODs,,,Unlocking quantum potential: Getting started with Strangeworks,"Join us for a demo to help demystify quantum programming. Explore the Quantum Approximate Optimization Algorithm (QAOA) service, which simplifies quantum computing for all skill levels. See the practical application of the QAOA service on AWS via Rigetti hardware, showcasing Strangeworks‚Äôs latest cargo loading problem. Whether you‚Äôre a quantum novice or an experienced coder, gain insights into quantum computing‚Äôs potential. Discover how Strangeworks‚Äôs intuitive platform is reshaping quantum accessibility, making it easier and more efficient to harness quantum power. Start your quantum journey with Strangeworks and witness the transformative possibilities of quantum computing.",Strangeworks,16-Nov,13:00,15:00,Thursday,XX,"Steven Gibson, Chief Strategy Officer, Strangeworks",,Unlocking quantum potential: Getting started with Strangeworks,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD7,PODs,,,BlueQubit: A simple way to run quantum,"BlueQubit is a software infrastructure company for running hybrid compute jobs on QPU/GPU/CPU. Learn about their fast, zero-setup GPU simulators.",BlueQubit,16-Nov,13:00,15:00,Thursday,XX,"Hrant Gharibyan, CEO, BlueQubit",,BlueQubit: A simple way to run quantum,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD9,PODs,,,How quantum infrastructure software is delivering business advantage ,"Companies and talent alike are catching on to quantum computing. Companies are racing to build quantum computers with the most qubits, and people, from business leaders to students and job seekers, are looking to join the industry. However, a challenge is that today‚Äôs quantum computers are noisy and prone to error, which affects the accuracy of everything they attempt to do. This is what Q-CTRL is solving. Q-CTRL‚Äôs mission is to make quantum technology useful. This demo showcases how Q-CTRL infrastructure software is delivering business advantage from quantum computing. Q-CTRL builds commercial-ready, quantum control and error reduction products available on the AWS Marketplace and integrated with Amazon Braket.",Q-Ctrl,16-Nov,13:00,15:00,Thursday,XX,"Alex Shih, Head of Product,Q-Ctrl; Rowen Wu, Product Manager, Q-Ctrl",,How quantum infrastructure software is delivering business advantage ,AWS Booth #1001 | Pod @ SC'23 Denver,Quantum 
SC23-POD6,PODs,,,AutoHPC: Automated HPC cluster creation and expert support,"AutoHPC is a cutting-edge SaaS solution tailored for HPC users seeking the advantages of HPC systems without the substantial upfront investment required for purchasing and maintaining HPC hardware. In this demonstration, learn how you can make the installation, configuration, access, monitoring, and budgeting of your HPC cluster an effortless experience with AutoHPC‚Äôs user-friendly interface. By asking you a few simple questions, AutoHPC can automate the entire process from start to finish, making it faster and easier to set up and manage your HPC cluster.",BrightSkies,16-Nov,13:00,15:00,Thursday,XX,"Nour AbouElNada, Product Manager, BrightSkies; Khaled El Amrawi, CEO Brightskies",,AutoHPC: Automated HPC cluster creation and expert support,AWS Booth #1001 | Pod 6 SC'23 Denver,Workload Management
SC23-POD4,PODs,,,Do IT Now‚Äôs cloud migration of Sanofi‚Äôs WISE platform and data,"Sanofi opted to shift from on-premises infrastructure to Amazon Web Services (AWS) for its business-critical WISE platform (200+ servers), to mitigate risk and enhance performance. Join this session to learn how this cloud migration allowed for increased agility, better user-centric services, and substantial computational power for emerging applications like genomics and AI algorithms. The move aimed to minimize downtime, ensure stability, and meet the escalating demands of thousands of users, averting potential business repercussions.",DoItNow,16-Nov,13:00,15:00,Thursday,XX,"Alberto Garcia, Senior HPC expert, doitnow; Thierry Porcher, CTO, doitnow; Cosma Belli, Business Dev. Manager,doitnow",,Do IT Now‚Äôs cloud migration of Sanofi‚Äôs WISE platform and data,AWS Booth #1001 | Pod 4 SC'23 Denver,Migration
SC23-POD12,PODs,,,DXC hybrid cloud with AWS,"Using real life examples and use cases, DXC explains how traditional on-premises models of HPC can be transformed by the introduction of AWS Cloud. In this session, learn the merits of hybrid compute and how to manage the transition to a successful managed solution.",DXC,16-Nov,13:00,15:00,Thursday,XX,"Andrew Cusick, Global Business Analyst HPC Managed Services, DXC; Andrew Gunnesch, Senior Architect HPC Managed Services, DXC",,DXC hybrid cloud with AWS,AWS Booth #1001 | Pod 12 SC'23 Denver,Hybrid Cloud
AWS-THEATRE,T,,,Amazon Braket: The quantum computing service of AWS,"Amazon Braket helps organizations get access to quantum computing hardware and simulators so they can speed up their scientific research and software development for quantum computing. This session shows short tutorials and shares how to run quantum circuits using real gate-based devices and simulators. Learn how to run your first quantum AI algorithm using Amazon Braket Hybrid Jobs. Along the way, explore Amazon Braket’s features, see examples from the AWS quantum algorithm library, and get your questions answered.",AWS,16-Nov,14:00,15:00,Thursday,bouffler,"Christian Madsen, Quantum Computing SDM, Amazon Braket, AWS; Michael Brett, Principal Specialist, Amazon Braket, AWS",,Amazon Braket: The quantum computing service of AWS,AWS Booth #1001 | Theatre @ SC'23 Denver,"Quantum, Amazon Braket"
